Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for windows-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 21:21:52 by "java_re" with MS VC++ 10.0 (VS2010)
9.151: [GC (Allocation Failure) [PSYoungGen: 163872K->0K(158720K)] 164724K->852K(332288K), 0.0005598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.217: [GC (Allocation Failure) [PSYoungGen: 158208K->0K(153600K)] 159060K->852K(327168K), 0.0005353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.279: [GC (Allocation Failure) [PSYoungGen: 153088K->0K(148480K)] 153940K->852K(322048K), 0.0009085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.340: [GC (Allocation Failure) [PSYoungGen: 147968K->32K(143360K)] 148820K->884K(316928K), 0.0006403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.403: [GC (Allocation Failure) [PSYoungGen: 142880K->0K(138752K)] 143732K->852K(312320K), 0.0006447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.462: [GC (Allocation Failure) [PSYoungGen: 138240K->32K(166400K)] 139092K->884K(339968K), 0.0008243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.530: [GC (Allocation Failure) [PSYoungGen: 165920K->0K(199680K)] 166772K->852K(373248K), 0.0007914 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.612: [GC (Allocation Failure) [PSYoungGen: 199168K->32K(192512K)] 200020K->884K(366080K), 0.0005190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.695: [GC (Allocation Failure) [PSYoungGen: 192032K->0K(185344K)] 192884K->852K(358912K), 0.0006389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.774: [GC (Allocation Failure) [PSYoungGen: 184832K->0K(178688K)] 185684K->852K(352256K), 0.0005120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.850: [GC (Allocation Failure) [PSYoungGen: 178176K->0K(172544K)] 179028K->852K(346112K), 0.0004842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.924: [GC (Allocation Failure) [PSYoungGen: 172032K->32K(166400K)] 172884K->884K(339968K), 0.0008506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.995: [GC (Allocation Failure) [PSYoungGen: 165920K->32K(160768K)] 166772K->884K(334336K), 0.0006720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.063: [GC (Allocation Failure) [PSYoungGen: 160288K->32K(155136K)] 161140K->884K(328704K), 0.0005488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.129: [GC (Allocation Failure) [PSYoungGen: 154656K->0K(150016K)] 155508K->852K(323584K), 0.0005636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.194: [GC (Allocation Failure) [PSYoungGen: 149504K->0K(144896K)] 150356K->852K(318464K), 0.0006503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.255: [GC (Allocation Failure) [PSYoungGen: 144384K->0K(140288K)] 145236K->852K(313856K), 0.0003715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.315: [GC (Allocation Failure) [PSYoungGen: 139776K->0K(135680K)] 140628K->852K(309248K), 0.0007605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.374: [GC (Allocation Failure) [PSYoungGen: 135168K->0K(131584K)] 136020K->852K(305152K), 0.0006584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.436: [GC (Allocation Failure) [PSYoungGen: 131072K->0K(127488K)] 131924K->852K(301056K), 0.0008250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.491: [GC (Allocation Failure) [PSYoungGen: 126976K->0K(123392K)] 127828K->852K(296960K), 0.0005803 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
10.544: [GC (Allocation Failure) [PSYoungGen: 122880K->0K(147968K)] 123732K->852K(321536K), 0.0006799 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.608: [GC (Allocation Failure) [PSYoungGen: 147456K->0K(177664K)] 148308K->852K(351232K), 0.0007469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.687: [GC (Allocation Failure) [PSYoungGen: 177152K->0K(213504K)] 178004K->852K(387072K), 0.0008174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.779: [GC (Allocation Failure) [PSYoungGen: 212992K->0K(205824K)] 213844K->852K(379392K), 0.0007363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.867: [GC (Allocation Failure) [PSYoungGen: 205312K->0K(198144K)] 206164K->852K(371712K), 0.0008499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.956: [GC (Allocation Failure) [PSYoungGen: 197632K->0K(190976K)] 198484K->852K(364544K), 0.0006930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.038: [GC (Allocation Failure) [PSYoungGen: 190464K->32K(184320K)] 191316K->884K(357888K), 0.0006867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.119: [GC (Allocation Failure) [PSYoungGen: 183840K->0K(177664K)] 184692K->852K(351232K), 0.0007846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.197: [GC (Allocation Failure) [PSYoungGen: 177152K->0K(171520K)] 178004K->852K(345088K), 0.0006799 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.271: [GC (Allocation Failure) [PSYoungGen: 171008K->0K(165376K)] 171860K->852K(338944K), 0.0005435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.341: [GC (Allocation Failure) [PSYoungGen: 164864K->32K(159744K)] 165716K->884K(333312K), 0.0007667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.412: [GC (Allocation Failure) [PSYoungGen: 159264K->0K(154112K)] 160116K->852K(327680K), 0.0005751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.478: [GC (Allocation Failure) [PSYoungGen: 153600K->0K(148992K)] 154452K->852K(322560K), 0.0004939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.541: [GC (Allocation Failure) [PSYoungGen: 148480K->32K(143872K)] 149332K->884K(317440K), 0.0007810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.602: [GC (Allocation Failure) [PSYoungGen: 143392K->32K(139264K)] 144244K->884K(312832K), 0.0005939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.661: [GC (Allocation Failure) [PSYoungGen: 138784K->0K(134656K)] 139636K->852K(308224K), 0.0005201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.718: [GC (Allocation Failure) [PSYoungGen: 134144K->0K(161792K)] 134996K->852K(335360K), 0.0009419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.787: [GC (Allocation Failure) [PSYoungGen: 161280K->32K(194048K)] 162132K->884K(367616K), 0.0006471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
